id,language
84021070,fr
181259499,en
429483815,tr
102205475,en
176024113,tr
136366909,en
137724090,ko
60177334,ru
506779979,en
62638609,es
492327183,en
415068073,en
144488507,it
52614128,pt-br
156465245,pt-br
198526806,it
415731592,it
18466131,pt-br
41820329,en
168568972,ru
52172280,en
35999968,es
91904368,en
39894746,en
171821579,ru
25753058,en
132190230,en
20443049,en
116228390,en
121510236,es
52028814,en
38244180,en
652498513,en
23161357,en
207813352,en
68246485,en
155601320,fr
3389768,en
40063341,fr
67931625,de
51496027,en
199811071,es
502014446,pt-br
233300375,en
213104821,en
89284114,fr
6768122,tr
48878319,es
177249859,tr
30079255,en
123922797,es
77827128,it
75830338,it
245226810,es
40488774,ru
138111494,tr
51270104,en
32787655,en
103268673,en
264708119,it
182714869,es
504350,en
135468063,fr
82197170,en
28579002,pt-br
94875296,en
19942092,en
14371185,en
270186408,es
42490770,en
137347549,fr
320878,en
81432617,fr
39115143,es
59168409,en
143726713,en
48389176,en
160489367,it
136925660,fr
610935997,es
117349875,en
183495243,es
1423946,en
173066877,fr
95873995,en
110690086,en
23528098,en
120679071,en
68950614,ru
427632467,en
109492660,es
158409957,tr
38287412,tr
82387889,de
579785040,es
500128827,en
73779954,en
21431060,de
260722430,en
45139193,it
59635827,en
109809539,en
180671441,en
85875635,en
56514218,es
188455270,en
101448647,es
121555768,it
48340211,pt-br
110119637,fr
409624608,en
38499199,it
91136321,es
137089044,es
230768385,ru
682444350,en
257049727,tr
36810911,de
82896213,en
144798294,de
94908847,en
133528221,es
23097521,en
134927899,tr
94055227,es
70880222,en
26241991,en
64638702,en
50876702,de
113537067,de
18587270,en
114523872,en
62154099,fr
503630305,de
35828637,fr
92271663,en
181224914,en
246450563,en
237687661,tr
60796327,en
80993076,en
18074328,en
96812687,it
61974931,de
121111915,en
246532465,pt-br
408882505,es
40397064,en
181713478,it
37175851,en
91135465,en
23179441,en
41568677,en
29214396,de
4102418,fr
431146848,es
27586515,en
35076943,en
98099061,en
214560121,en
31532143,en
415954300,en
25871845,en
100815219,en
143357760,en
38852102,en
60521449,en
132289488,it
163491827,en
178506969,en
10397006,en
128440061,en
48533154,en
198394486,en
196005456,tr
105458682,en
522483254,es
85473107,fr
104329750,tr
