source,target,weight
50597026,16677765,39
26490481,16677765,57
135052907,16677765,40
24538518,16677765,13
16064695,101939053,12
21991090,101939053,11
9244832,52839414,13
26490481,52839414,38
64581694,52839414,21
445529741,52839414,14
160504245,52839414,13
38594688,52839414,25
129004176,52839414,17
125387632,52839414,31
219621643,52839414,13
36138196,501538848,169
129004176,501538848,11
125387632,501538848,19
160504245,50686586,62
135052907,50686586,32
38594688,50686586,36
38746172,50686586,20
62510206,50686586,54
107305687,50686586,20
125387632,50686586,31
445529741,50686586,24
43102846,174955366,521
147337432,174955366,324
50597026,174955366,854
92113890,174955366,45
125387632,174955366,103
24538518,174955366,33
160504245,174955366,15
129004176,174955366,23
139504995,174955366,21
64581694,174955366,26
156037856,174955366,22
117783070,174955366,13
26490481,174955366,15
156037856,9528182,27
160504245,9528182,18
50686586,9528182,25
62510206,9528182,19
38746172,9528182,18
26490481,9528182,27
30104304,9528182,78
125387632,9528182,28
107305687,9528182,12
9244832,9528182,23
7010591,9528182,27
24538518,9528182,16
125387632,28369163,43
26490481,28369163,85
9244832,28369163,15
38594688,28369163,73
108268890,28369163,11
61433001,28369163,29
30104304,28369163,25
64581694,28369163,15
24538518,28369163,12
38746172,28369163,19
32402794,28369163,15
129004176,28369163,14
638511570,28369163,12
135377687,28369163,11
9244832,57317154,50
129004176,57317154,37
135377687,57317154,18
30104304,57317154,115
108268890,57317154,145
174955366,57317154,14
26490481,57317154,211
24538518,57317154,89
160504245,57317154,78
38746172,57317154,75
125387632,57317154,68
64581694,57317154,22
92113890,57317154,34
156037856,57317154,66
213749122,57317154,59
57025612,57317154,41
7010591,57317154,14
32402794,57317154,18
117783070,57317154,43
62510206,57317154,21
16064695,57317154,29
21991090,57317154,18
125387632,44335356,16
8641037,44335356,67
213749122,44335356,119
108268890,44335356,143
160504245,44335356,16
26490481,44335356,13
30104304,44335356,25
156037856,44335356,12
61433001,92372244,485
9244832,92372244,20
30104304,92372244,31
64581694,92372244,42
38594688,92372244,75
26490481,92372244,52
125387632,92372244,46
160504245,92372244,15
28369163,92372244,24
16677765,131403189,40
26490481,131403189,44
30104304,131403189,45
50597026,131403189,38
125387632,131403189,110
38594688,131403189,43
38746172,131403189,40
108268890,131403189,43
188890121,131403189,40
503598254,131403189,37
29506118,131403189,40
57025612,131403189,39
147337432,131403189,39
25202416,131403189,42
164234001,131403189,41
62510206,131403189,40
43102846,131403189,38
21991090,131403189,40
15027034,131403189,40
164459256,131403189,37
129004176,131403189,52
174955366,27115917,1750
147337432,27115917,485
43102846,27115917,286
160504245,27115917,24
50597026,27115917,1594
125387632,27115917,133
139504995,27115917,40
129004176,27115917,44
26490481,27115917,20
64581694,27115917,14
92113890,27115917,16
156037856,27115917,17
30104304,27115917,11
24538518,27115917,14
29506118,11692694,895
25202416,11692694,1226
16677765,11692694,837
15027034,11692694,1462
503598254,11692694,538
125387632,11692694,113
160504245,11692694,12
64581694,11692694,20
164234001,11692694,51
57025612,11692694,71
30104304,11692694,51
24538518,11692694,13
131403189,11692694,41
62510206,11692694,57
147337432,11692694,41
43102846,11692694,41
21991090,11692694,50
188890121,11692694,42
164459256,11692694,40
108268890,11692694,48
38746172,11692694,52
38594688,11692694,50
50597026,11692694,38
26490481,11692694,51
117783070,11692694,13
117783070,128293484,4426
38746172,128293484,53
160504245,128293484,188
62510206,128293484,73
30104304,128293484,102
29506118,128293484,21
57025612,128293484,86
24538518,128293484,346
57317154,128293484,60
156037856,128293484,60
92113890,128293484,72
108268890,128293484,42
125387632,128293484,79
26490481,128293484,136
129004176,128293484,57
9244832,128293484,30
213749122,128293484,19
16064695,128293484,14
36138196,128293484,21
638511570,128293484,29
135377687,128293484,14
64581694,128293484,57
32402794,128293484,12
174955366,128293484,14
43102846,128293484,25
11692694,128293484,18
107305687,128293484,31
445529741,128293484,24
27115917,128293484,12
52839414,128293484,15
30104304,9679595,412
26490481,9679595,439
57025612,9679595,14
9244832,9679595,73
38746172,9679595,109
125387632,9679595,83
160504245,9679595,90
129004176,9679595,37
15027034,9679595,11
38594688,9679595,18
156037856,9679595,94
24538518,9679595,86
32402794,9679595,19
128293484,9679595,20
108268890,9679595,50
9528182,9679595,13
61433001,9679595,15
92113890,9679595,11
16064695,9679595,13
62510206,9679595,15
57317154,9679595,34
