source,target
1399546913012207618,1399545672458719236
1399531553517031424,1399531546994900995
1399573245582401536,1399559716443869184
1399571297240195073,1399571258312847360
1398276094340517888,1398275533549494274
1399571258312847360,1399571219301683208
1399571180365881345,1399571141644062724
1399565274471305216,1399564741379387397
1399564729203539969,1399555520583831555
1399563365500915716,1399502478169710594
1399571141644062724,1399571102821617664
1399564741379387397,1399563863880704002
1399542514751737857,1399518732863492096
1399261624461152256,1399261342738092032
1399561784541863939,1399561662395338753
1399561798378917889,1397458871673884672
1399474702058467328,1399473318995148802
1399483049243459595,1399473318995148802
1399553123933372417,1399552356430327809
1399506596686974980,1399368318792962051
1399552356430327809,1399552062858403843
1399545672458719236,1399542661862858754
1399544967882674178,1399518900564291586
1399537892293103618,1399537815872933891
1399537988804116480,1399537921884000257
1399538052121300993,1399537988804116480
1399518900564291586,1399511911666835456
1399518732863492096,1399516795153747973
1399537921884000257,1399537904054018048
1399538063521452036,1399538052121300993
1399537904054018048,1399537892293103618
1399416801625317386,1399416282970198019
1399537998568382464,1399416282970198019
1395897616546897922,1395863342951116804
1399530756867870720,1399528872903856130
1399530059770302466,1399447365786947589
1399528872903856130,1399527484958334980
1399402554216390658,1399400947667906564
1399522819961090048,1399511571475275782
1399522254338285569,1399521864091832323
1399511571475275782,1399350780340097031
1399521864091832323,1399506767894171649
1399519285345665024,1399378809309253646
1399516379565289472,1399516203375230976
1399515571524354049,1399510510308110339
1399515242120454144,1399406371934642180
1399514023779917826,1399513124525408256
1399512164394696708,1399512163077656578
1399378809309253646,1399378541859508228
1399516203375230976,1399515055700381697
1399510510308110339,1399501833492652040
1399513124525408256,1399457702300983298
1399512163077656578,1399512162394013697
1399508533671075840,1396032629397508097
1399467859085041667,1399449808289554443
1399505606889902092,1399504724785713152
1399505017908891649,1399368435021328385
1399504724785713152,1399266108453052416
1399502984212451328,1399502448591458308
1399504518417633282,1399504103689142272
1399503681813241856,1399393696148246531
1399503567623389184,1399502984212451328
1399501833492652040,1399498931978047490
1399500526840999940,1399481334825852929
1399499761535778817,1399498609607864325
1399499482320936963,1399499481633071104
1399498272801234945,1399498020807380994
1399504103689142272,1399335282890186754
1399393696148246531,1397573203703173120
1399498931978047490,1399493523020341250
1399498609607864325,1399497674383003652
1399499481633071104,1399499480890626051
1399492361047130113,1399492156377739264
1399491135110844418,1397669050226991111
1399490908496621569,1399489182729392136
1399489182729392136,1399489031893774339
1399484560593784834,1399483299454722048
1399489031893774339,1399477493359419395
1399484139032690689,1399463377412530178
1399483514605785088,1398033619977920513
1398033619977920513,1397590170816352256
1399483486424211458,1397590170816352256
1399483423207612418,1399475898647158788
1399483299454722048,1399481723189141504
1399483120131391489,1399483001621434369
1399477493359419395,1399477042840756226
1399481723189141504,1399474829418508298
1399481806144028680,1399383948321595392
1399481784077783040,1399406311016747016
1399481762938605571,1399440547891212290
1399475095727452161,1399466069299957762
1399475284185956356,1399466069299957762
1399475012915113986,1399469393973858312
1399475400770785282,1399469393973858312
1399475309481713664,1399469045263515649
1399475028677337091,1399469045263515649
1399474664620056581,1399470237616119812
1399477275071074305,1399457657141010438
1399477630508978176,1399382959501807625
1399403642323673090,1399380153613041666
1399468941664305167,1399164694938591232
1399476917775093761,1399138738865852417
1399476296686702592,1399475613916975112
1399475975914770435,1399475776815239181
1399474952089255936,1399468665418944523
1399474539348758534,1399382662876471300
1399474509573394435,1399123067914186755
1399474473179435014,1399214301563392003
1399474451805315077,1399159450741612549
1399474427033698308,1399460728638218244
1399474376752369666,1399473728208113667
1399473144751136768,1399471251060445186
1399472913682776066,1396244059065360389
1399475776815239181,1399474462458793985
1399471251060445186,1399471024064929792
1399469152117657609,1399356520899489799
1399467941528104960,1399327108468379654
1399430761711865860,1399430642694230017
1399467447850352640,1399430642694230017
1399327108468379654,1399131136278732800
1399458541992304648,1399458366326456322
1399458077481574401,1399434511998500869
1399457323467280394,1399456310236700672
1399455280405094400,1399407405474226178
1399407405474226178,1399401337335562247
1399454596066693123,1399454389337788420
1399454389337788420,1399453488241852421
1399453488241852421,1399453367601094666
1399451952619134984,1399409422410170369
1399450853967159299,1399448022254227471
1399453367601094666,1399453127846334471
1399356589631488006,1399355839924871174
1399444661652099081,1399440772366176258
1399440772366176258,1399206282037370880
1399438786971451399,1399412764175708165
1399432671562960902,1399432125674295300
1399436640653828099,1399432125674295300
1399441561671417867,1399432125674295300
1399441174826528772,1399440786278785032
1399440992923635712,1399434967185252354
1399440702082273283,1399386907251982336
1399438729694089219,1399064377718755331
1399436639533993994,1399436195625582593
1399436309312114688,1399195995146100737
