post,user
1399631673139081218,1264433760
1399631519493337088,1044298030512570368
1399631368762630146,65364776
1399631327884939266,1264433760
1399631327884939266,1155470031225884675
1399631327574507520,467513287
1399631327087976448,467513287
1399631318921760769,1155470031225884675
1399631318921760769,1264433760
1399631316702961666,444522096
1399631314064662534,1264433760
1399631314064662534,1155470031225884675
1399631296964464641,1155470031225884675
1399631296964464641,1264433760
1399631294141718530,444522096
1399631292203864067,1264433760
1399631292203864067,1155470031225884675
1399631291528749058,1155470031225884675
1399631291528749058,1264433760
1399631289184141317,956991090489544705
1399631268741066755,1264433760
1399631268741066755,1155470031225884675
1399631217230819335,837133583558987776
1399631034908545029,1297545010393604096
1399631034908545029,330097232
1399630867803172866,1044298030512570368
1399630652719341570,467513287
1399630645245190144,467513287
1399630611875340292,60622429
1399630577083551745,1373380323959058434
1399630564513120256,9313022
1399630564513120256,1314180411828834304
1399630535610093569,1155470031225884675
1399630513225273345,1333737202824728577
1399630486532542465,1155470031225884675
1399630485932982275,1155470031225884675
1399630479242956801,1155470031225884675
1399630478924206080,467513287
1399630463338094595,1155470031225884675
1399630456690077698,1155470031225884675
1399630456237215751,1155470031225884675
1399630448591093760,1155470031225884675
1399630433776660484,1155470031225884675
1399630423483944961,1381254220825849856
1399630401497231360,1381254220825849856
1399630395117813761,1380905765846716417
1399630366110109700,467513287
1399630363455012865,467513287
1399630358027673600,467513287
1399630355519389698,467513287
1399630352583475202,467513287
1399630346946232325,467513287
1399630344559771649,467513287
1399630342936535041,467513287
1399630338981253120,932713839409364992
1399630337110691841,932713839409364992
1399630335202189312,467513287
1399630331326631937,467513287
1399630329690738691,1155470031225884675
1399630329376296962,467513287
1399630327404957697,932713839409364992
1399630324506804226,467513287
1399630323969843202,918112383628963841
1399630323370110976,1381254220825849856
1399630322585767938,932713839409364992
1399630320643751936,467513287
1399630307435896832,1155470031225884675
1399630294920175616,814819045786591232
1399630280453804033,467513287
1399630256999481344,49427323
1399630256999481344,1270025862
1399630179249659905,1309145041957421059
1399630041227706369,1052519801241956352
1399630017747902464,1384862715836043267
1399629905919414272,1358344468982816769
1399629905919414272,1155470031225884675
1399629905856368641,1358344468982816769
1399629905856368641,1155470031225884675
1399629904778567683,1358344468982816769
1399629904778567683,1155470031225884675
1399629904455602176,1155470031225884675
1399629904455602176,1358344468982816769
1399629902144409604,1155470031225884675
1399629902144409604,1358344468982816769
1399629902144409604,1127829883013361665
1399629893537722375,555022381
1399629893537722375,1155470031225884675
1399629893537722375,1358344468982816769
1399629892979859456,1358344468982816769
1399629892979859456,555022381
1399629892979859456,1155470031225884675
1399629882536173572,1155470031225884675
1399629881693122563,1052519801241956352
1399629880929624065,1127829883013361665
1399629880929624065,1358344468982816769
1399629880929624065,1155470031225884675
1399629880128589828,1155470031225884675
1399629880128589828,1358344468982816769
1399629880128589828,1127829883013361665
1399629879822499841,1358344468982816769
1399629879822499841,1127829883013361665
1399629879822499841,1155470031225884675
1399626614879698947,1442119560
1399626614879698947,788730545475883008
1399626614879698947,87976647
1399469723331575813,1979356783
1399629849296355328,49427323
1399445034756362241,1155470031225884675
1399543498328576001,1297545010393604096
1399616732201820160,9313022
1399629857588498432,1155470031225884675
1399629857588498432,1127829883013361665
1399629289083920384,776585502606721024
1399629289083920384,254107028
1399629879537242112,1155470031225884675
1399629879537242112,1358344468982816769
1399629879537242112,1127829883013361665
1399629871136051202,1358344468982816769
1399629871136051202,555022381
1399629871136051202,1155470031225884675
1399629870762586112,1358344468982816769
1399629870762586112,1155470031225884675
1399629870762586112,555022381
1399629870301339649,555022381
1399629870301339649,1155470031225884675
1399629870301339649,1358344468982816769
1399629690533462016,1381254220825849856
1399629625542823936,1381254220825849856
1399629588267929605,1380905765846716417
1399629523583475715,1381254220825849856
1399629523327537155,1381254220825849856
1399629481522913281,1052519801241956352
1399629481418051584,1052519801241956352
1399629441182179329,1155470031225884675
1399629433812635653,1155470031225884675
1399629433116442624,1155470031225884675
1399629431581417474,1380905765846716417
1399629431292010497,1380905765846716417
1399629417161318402,1155470031225884675
1399629410580328448,1155470031225884675
1399629309183201284,1380905765846716417
1399629307882864640,1380905765846716417
1399629302610776065,1380905765846716417
1399629012385808385,1384862715836043267
1399628909898092544,605610526
1399628725847724032,2889108801
1399628661301690369,1269972008
1399628661301690369,49427323
1399628653491744769,1269972008
1399628653491744769,49427323
1399628590161989632,918112383628963841
1399628361001881603,2359604420
1399628357025689604,2427010064
1399628341448122371,2359604420
1399628288650203136,2359604420
1399628271721992193,2359604420
1399628041723125761,2288653218
1399628041723125761,326229600
1399627912010162178,330097232
1399627912010162178,1297545010393604096
1399627880687095808,203008181
1399627880687095808,null
1399627858771943426,203008181
1399627562796699649,3326241282
1399627559512412161,34554134
1399627541111926789,3326241282
1399627517045080065,1260160740440203264
1399627474292645891,467513287
1399627313944350724,467513287
1399627304389709826,467513287
1399627302217125889,467513287
1399627297154605062,467513287
1399627294541594624,467513287
1399627292905725958,467513287
1399627292716961792,467513287
1399627291186155528,467513287
1399627288757551104,467513287
1399627287423860739,932713839409364992
1399627283560796161,932713839409364992
1399627281606320130,467513287
1399627279542718478,467513287
1399627277865000966,467513287
